Make,AvgSellingPrice
Acura,14017.268259617014
Aston Martin,54812.0
Audi,19915.432782416083
BMW,21441.89574786428
Bentley,74367.6724137931
Buick,10721.76424515371
Cadillac,15221.155871791461
Chevrolet,11977.397528116018
Chrysler,11167.532340681872
Daewoo,400.0
Dodge,11206.959189762943
FIAT,10367.487861271677
Ferrari,127210.52631578948
Fisker,46461.11111111111
Ford,13987.523964747099
GMC,16951.410534250448
Geo,528.9473684210526
HUMMER,15269.488198757765
Honda,10940.432588399617
Hyundai,11011.227667494042
Infiniti,20417.457693564196
Isuzu,1709.1960784313726
Jaguar,19782.518309859155
Jeep,15000.244145199063
Kia,11808.872363645518
Lamborghini,112625.0
Land Rover,33097.85590778098
Lexus,20286.236826574488
Lincoln,16824.67691505993
Lotus,40800.0
MINI,12313.663151364764
Maserati,45320.3007518797
Mazda,10155.64123415451
Mercedes-Benz,21590.566828073042
Mercury,3935.5672690763054
Mitsubishi,8201.565942028985
Nissan,11739.01596040485
Oldsmobile,954.1895604395604
Plymouth,9592.5
Pontiac,3755.34267289304
Porsche,39965.32971800434
Ram,25299.936816790556
Rolls-Royce,153488.23529411765
Saab,3628.099173553719
Saturn,3385.427666314678
Scion,9578.808535862478
Subaru,15383.107475708903
Suzuki,3903.1407269338306
Tesla,67054.34782608696
Toyota,12249.32181284643
Volkswagen,9383.704316032112
Volvo,11463.952481520591
acura,6036.0
airstream,71000.0
audi,16537.5
bmw,30471.283783783783
buick,6258.928571428572
cadillac,4909.090909090909
chev truck,2000.0
chevrolet,6068.076923076923
chrysler,2877.2727272727275
dodge,5808.469387755102
dodge tk,550.0
dot,500.0
ford,5129.853273137697
ford tk,2800.0
ford truck,483.3333333333333
gmc,5034.0
gmc truck,6920.454545454545
honda,4334.310344827586
hyundai,2975.0
hyundai tk,2100.0
jeep,8374.549549549549
kia,5357.142857142857
land rover,11711.821705426357
landrover,11516.666666666666
lexus,13012.605042016807
lincoln,19822.41379310345
maserati,28400.0
mazda,4004.246575342466
mazda tk,6500.0
mercedes,7471.428571428572
mercedes-b,13650.0
mercury,2088.7096774193546
mitsubishi,7607.692307692308
nissan,6068.30985915493
oldsmobile,671.25
plymouth,703.5714285714286
pontiac,3233.3333333333335
porsche,30934.21052631579
smart,6236.868686868687
subaru,3710.4166666666665
suzuki,4810.0
toyota,7339.105263157895
volkswagen,6145.833333333333
vw,13672.916666666666
