Make,AverageOdometer
Acura,85829.21928486697
Aston Martin,26603.64
Audi,66040.1409128926
BMW,64298.10309635117
Bentley,39239.69827586207
Buick,78987.519899034
Cadillac,83391.75329166112
Chevrolet,76894.3932130959
Chrysler,65528.59753620823
Daewoo,78270.66666666667
Dodge,72497.99977321828
FIAT,25357.864739884393
Ferrari,15218.78947368421
Fisker,18165.666666666668
Ford,68189.24161019114
GMC,84533.76943706146
Geo,177356.73684210525
HUMMER,103136.08944099379
Honda,80329.04822857457
Hyundai,51174.77686101943
Infiniti,45862.71061976696
Isuzu,140132.22549019608
Jaguar,68766.0147887324
Jeep,69804.40027437983
Kia,46016.54516985857
Lamborghini,16759.5
Land Rover,58310.50144092219
Lexus,69228.99190624736
Lincoln,62516.31509466736
Lotus,16932.0
MINI,48127.11662531018
Maserati,29630.736842105263
Mazda,65366.34094926653
Mercedes-Benz,62416.050233551134
Mercury,113430.59891342036
Mitsubishi,75600.7463768116
Nissan,56219.46839497893
Oldsmobile,139822.48076923078
Plymouth,80449.8
Pontiac,117781.31489238753
Porsche,50737.8582791034
Ram,40495.240052470486
Rolls-Royce,13824.117647058823
Saab,104356.15909090909
Saturn,117262.34987680394
Scion,63415.93716656787
Subaru,56647.18203450327
Suzuki,91987.4109972041
Tesla,17307.91304347826
Toyota,73970.05192099855
Volkswagen,66699.95413860319
Volvo,83883.15365246391
acura,140461.52
airstream,51971.0
audi,78878.125
bmw,61454.51351351351
buick,90320.78571428571
cadillac,116375.33636363636
chev truck,136490.0
chevrolet,116475.87701418802
chrysler,132898.96172248805
dodge,118589.13476639455
dodge tk,246997.0
dot,191734.0
ford,141088.95715071482
ford tk,108474.0
ford truck,194084.66666666666
gmc,175648.6
gmc truck,152146.72727272726
honda,154602.56551724137
hyundai,151175.15
hyundai tk,131532.0
jeep,104029.6936936937
kia,81174.14285714286
land rover,103767.20944005167
landrover,99271.03703703704
lexus,143461.94957983194
lincoln,59373.137931034486
maserati,30385.0
mazda,107573.28767123287
mazda tk,103395.0
mercedes,118177.42857142857
mercedes-b,74453.5
mercury,132565.51612903227
mitsubishi,65170.97435897436
nissan,128633.12676056338
oldsmobile,132435.1
plymouth,145676.0
pontiac,124053.44444444444
porsche,62765.0
smart,28963.5
subaru,134812.6
suzuki,80901.4
toyota,145414.33684210526
volkswagen,103235.08333333333
vw,67813.58333333333
