Make,AvgMMR
Acura,14076.813251991189
Aston Martin,53560.0
Audi,20080.21383540637
BMW,21575.54780636131
Bentley,75928.44827586207
Buick,10909.433130996671
Cadillac,15339.745976858625
Chevrolet,12150.630430087878
Chrysler,11416.182203923976
Daewoo,633.3333333333334
Dodge,11417.512658905589
FIAT,10535.838150289017
Ferrari,129210.52631578948
Fisker,49100.0
Ford,14170.195892133217
GMC,17055.745312352774
Geo,609.2105263157895
HUMMER,15016.863354037267
Honda,11001.945342939058
Hyundai,11232.921795355544
Infiniti,20505.099640640314
Isuzu,1750.8578431372548
Jaguar,20135.75704225352
Jeep,15118.042544886806
Kia,11947.035667145577
Lamborghini,111500.0
Land Rover,33420.28818443804
Lexus,20370.58848326448
Lincoln,17041.818655549767
Lotus,40300.0
MINI,12412.313895781637
Maserati,46061.65413533834
Mazda,10278.477038985888
Mercedes-Benz,21940.217898605682
Mercury,4103.313253012048
Mitsubishi,8317.608695652174
Nissan,11867.478126274422
Oldsmobile,1095.0549450549452
Plymouth,11170.0
Pontiac,3952.407160329108
Porsche,40214.931308749095
Ram,25528.3176650634
Rolls-Royce,154294.11764705883
Saab,3768.646694214876
Saturn,3510.7884547694475
Scion,9672.747480735032
Subaru,15469.284156256197
Suzuki,3887.9077353215284
Tesla,67813.04347826086
Toyota,12359.001529934038
Volkswagen,9534.339783393845
Volvo,11573.317053854276
acura,6118.0
airstream,29500.0
audi,16578.125
bmw,30749.662162162163
buick,6175.0
cadillac,5073.181818181818
chev truck,1925.0
chevrolet,5978.974358974359
chrysler,3058.971291866029
dodge,5823.9795918367345
dodge tk,625.0
dot,850.0
ford,5144.187358916479
ford tk,3475.0
ford truck,550.0
gmc,5444.0
gmc truck,6490.909090909091
honda,4410.0
hyundai,2811.25
hyundai tk,1875.0
jeep,8698.873873873874
kia,6664.285714285715
land rover,11748.062015503876
landrover,11319.444444444445
lexus,13055.672268907563
lincoln,19901.724137931036
maserati,28766.666666666668
mazda,4189.3835616438355
mazda tk,5375.0
mercedes,7581.428571428572
mercedes-b,14100.0
mercury,2097.5806451612902
mitsubishi,7811.111111111111
nissan,5834.507042253521
oldsmobile,942.5
plymouth,632.1428571428571
pontiac,3230.5555555555557
porsche,32353.947368421053
smart,6354.608585858586
subaru,3911.6666666666665
suzuki,4805.0
toyota,7367.631578947368
volkswagen,5984.375
vw,13847.916666666666
